ADR (Automated Dialogue Replacement)	1200
Air Break / Aircheck	1200
Air Chain	1200
Air Check	1200
Air Signal	1200
Ambient Microphone	1200
Announcer	1200
ATSC / ATSC 3	1220
ATSC 3.0	1220
ATSC A/85	1220
Audio Assistant (A2)	1200
Audio Operator (A1)	1200
Auxiliary Bus	1200
Backup Feed	1200
Broadcast	1200
Broadcast & Streaming Loudness Standards	1220
Broadcast Audio	1200
Broadcast Audio Technician	1200
Broadcast Console	1200
Broadcast Delay	1200
Broadcast Engineer	1200
Bumper	1200
CALM Act (Commercial Advertisement Loudness Mitigation Act)	1220
Cart / Cartridge Machine	1200
Chapter Markers	1190
Clean Feed	1200
Codec	1210
Commentary Microphone	1200
Commentator	1200
Compander	1200
Confidence Monitor	1200
Crowd Microphone	1200
Cue / Cue Light	1200
Delay Line	1200
Director	1200
Disaster Recovery	1200
Distribution	1210
DJ Intro	1200
Dolby Digital (AC-3)	1210
Double-Ender (Tape Sync)	1190
EBU R128	1220
Encoding	1210
Failover	1200
Handheld Microphone	1200
ID3 Tags	1210
IFB (Interruptible Foldback)	1200
Integrated Loudness (LKFS / LUFS)	1220
Intercom	1200
Interstitial	1200
ITU-R 468	1220
ITU-R BS	1220
ITU-R BS.1770	1220
Jingle	1200
K-weighted (LUFS)	1220
Leveler	1200
Live Broadcast	1200
Loudness Normalization	1220
Loudness Target (Podcast −16 LUFS)	1220
LUFS	1220
LUFS (Loudness Units Full Scale)	1220
Matrix Routing	1200
Metadata	1210
mix-minus	1200
Music Bed	1190
On-Air	1200
Playout System	1200
PPM (peak program meter)	1220
Producer	1190
Program Bus	1200
Program Feed	1200
Recorded Broadcast	1200
Redundancy	1200
Remote Recording Platform	1190
Return Feed	1200
RSS Feed	1210
Segue	1200
Shotgun microphone	1200
Simulcast	1210
Stage Manager	1200
Stereo Broadcast	1200
Streaming	1210
Talent	1200
Technical Director	1200
Transmission	1200
Transmission Path	1200
True Peak (dBTP)	1220
Voice Processing Chain	1200
