term,old_file,new_file,old_url,new_url,status
Hand Truck,Handtruck.PNG,hand-truck.webp,glossary-images/Handtruck.PNG,glossary-images/hand-truck.webp,ok
Handheld Microphone,HandheldMic.PNG,handheld-microphone.webp,glossary-images/HandheldMic.PNG,glossary-images/handheld-microphone.webp,ok
Hard Hat,HardHat.PNG,hard-hat.webp,glossary-images/HardHat.PNG,glossary-images/hard-hat.webp,ok
Hazard,HazzardAreaSigns.PNG,hazard.webp,glossary-images/HazzardAreaSigns.PNG,glossary-images/hazard.webp,ok
HDMI,HDMIconnector.PNG,hdmi.webp,glossary-images/HDMIconnector.PNG,glossary-images/hdmi.webp,ok
Headphone,Headphones.PNG,headphone.webp,glossary-images/Headphones.PNG,glossary-images/headphone.webp,ok
Headphone Adapter,HeadphoneAdapter.PNG,headphone-adapter.webp,glossary-images/HeadphoneAdapter.PNG,glossary-images/headphone-adapter.webp,ok
Headphone Amp,HeadphoneAmplifier.PNG,headphone-amp.webp,glossary-images/HeadphoneAmplifier.PNG,glossary-images/headphone-amp.webp,ok
Headset microphone,HeadsetMic.PNG,headset-microphone.webp,glossary-images/HeadsetMic.PNG,glossary-images/headset-microphone.webp,ok
Hearing Protection,EarMuffs.PNG,hearing-protection.webp,glossary-images/EarMuffs.PNG,glossary-images/hearing-protection.webp,ok
Heat Gun,HeatGun.PNG,heat-gun.webp,glossary-images/HeatGun.PNG,glossary-images/heat-gun.webp,ok
Heat Shrink Tubing,ShrinkTubing.PNG,heat-shrink-tubing.webp,glossary-images/ShrinkTubing.PNG,glossary-images/heat-shrink-tubing.webp,ok
High-Visibility Vest,HighVizVest.PNG,high-visibility-vest.webp,glossary-images/HighVizVest.PNG,glossary-images/high-visibility-vest.webp,ok
Horn Tweeter,HornTweeter.PNG,horn-tweeter.webp,glossary-images/HornTweeter.PNG,glossary-images/horn-tweeter.webp,ok
IEC Connector,IECconnector.PNG,iec-connector.webp,glossary-images/IECconnector.PNG,glossary-images/iec-connector.webp,ok
IEM (In-Ear Monitor),InEarMonitor.PNG,iem.webp,glossary-images/InEarMonitor.PNG,glossary-images/iem.webp,ok
Insert Cable,Insert_cable.PNG,insert-cable.webp,glossary-images/Insert_cable.PNG,glossary-images/insert-cable.webp,ok
Large-Diaphragm Microphone (LD Mic),U87mic.PNG,large-diaphragm-microphone.webp,glossary-images/U87mic.PNG,glossary-images/large-diaphragm-microphone.webp,ok
Lavalier Microphone (Lapel Mic / Lav),LavMic.PNG,lavalier-microphone.webp,glossary-images/LavMic.PNG,glossary-images/lavalier-microphone.webp,ok
Lightning Connector,Lightning_connector.PNG,lightning-connector.webp,glossary-images/Lightning_connector.PNG,glossary-images/lightning-connector.webp,ok
MADI (Multichannel Audio Digital Interface),MADIconnector.PNG,madi.webp,glossary-images/MADIconnector.PNG,glossary-images/madi.webp,ok
Measurement microphone,MeasurementMic.PNG,measurement-microphone.webp,glossary-images/MeasurementMic.PNG,glossary-images/measurement-microphone.webp,ok
Mic Clip,MicClip.PNG,mic-clip.webp,glossary-images/MicClip.PNG,glossary-images/mic-clip.webp,ok
Mic Stand,MicStand.PNG,mic-stand.webp,glossary-images/MicStand.PNG,glossary-images/mic-stand.webp,ok
MIDI DIN (5-Pin),MIDIport.PNG,midi-din.webp,glossary-images/MIDIport.PNG,glossary-images/midi-din.webp,ok
Multimeter,ElectMeter.PNG,multimeter.webp,glossary-images/ElectMeter.PNG,glossary-images/multimeter.webp,ok
Near-Field Monitor,NearfieldSpkrs.PNG,near-field-monitor.webp,glossary-images/NearfieldSpkrs.PNG,glossary-images/near-field-monitor.webp,ok
Oscilloscope,Ocsilliscope.PNG,oscilloscope.webp,glossary-images/Ocsilliscope.PNG,glossary-images/oscilloscope.webp,ok
Outlet Tester,ACoutletTester.PNG,outlet-tester.webp,glossary-images/ACoutletTester.PNG,glossary-images/outlet-tester.webp,ok
Parabolic Microphone,ParabolicMic.PNG,parabolic-microphone.webp,glossary-images/ParabolicMic.PNG,glossary-images/parabolic-microphone.webp,ok
Patch bay,Patchbay.PNG,patch-bay.webp,glossary-images/Patchbay.PNG,glossary-images/patch-bay.webp,ok
Personal Protective Equipment (PPE),PPE.PNG,personal-protective-equipment.webp,glossary-images/PPE.PNG,glossary-images/personal-protective-equipment.webp,ok
Phono Cartridge,PhonoStyluCartridge.PNG,phono-cartridge.webp,glossary-images/PhonoStyluCartridge.PNG,glossary-images/phono-cartridge.webp,ok
Pinch Point,PinchPoint.PNG,pinch-point.webp,glossary-images/PinchPoint.PNG,glossary-images/pinch-point.webp,ok
Pop filter,PopFilter.PNG,pop-filter.webp,glossary-images/PopFilter.PNG,glossary-images/pop-filter.webp,ok
Pot (Potentiometer),Pot_wKnob.PNG,pot.webp,glossary-images/Pot_wKnob.PNG,glossary-images/pot.webp,ok
Power Conditioner,PowerCOnditioner.PNG,power-conditioner.webp,glossary-images/PowerCOnditioner.PNG,glossary-images/power-conditioner.webp,ok
Rack Shelf,RackShelf.PNG,rack-shelf.webp,glossary-images/RackShelf.PNG,glossary-images/rack-shelf.webp,ok
RCA,RCA.PNG,rca.webp,glossary-images/RCA.PNG,glossary-images/rca.webp,ok
